web-scraper-order,web-scraper-start-url,link,link-href,product_name,item_price,item_rating,numbers_0f_review,product_description,Product_ASIN,manufacturer,pages,pages-href
1658566763-92,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",https://www.amazon.in/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1658566533&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=8-20,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",₹799.00,4.2 out of 5 stars,"5,621 ratings",Large sized black and grey colour trekking rucksack for men and women for travel use as well as for trendy college and school students. Huge compartment size that can fit upto several pairs of clothes with ease with separate pocket for shoesMultiple pockets for other accessories and water bottle,B07YDGQQN5,"Fur Jaden 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028",2,https://www.amazon.in/s?k=bags&page=2&crid=2M096C61O4MLT&qid=1658565969&sprefix=ba%2Caps%2C283&ref=sr_pg_2
1658566427-71,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,Mi Business Casual 21L Water Resistant Laptop Backpack (Dark Grey),https://www.amazon.in/Mi-Business-Casual-Resistant-Backpack/dp/B07YY6PTMN/ref=sr_1_41?crid=2M096C61O4MLT&keywords=bags&qid=1658566257&smid=A14CZOWI0VEHLG&sprefix=ba%2Caps%2C283&sr=8-41,Mi Business Casual 21L Water Resistant Laptop Backpack (Dark Grey),₹899.00,4.4 out of 5 stars,"4,416 ratings","21L Capacity: The Backpack has a padded laptop compartment that can fit 15.2 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass. Dimension(L*W*D): 44*32*16 cm",null,null,3,https://www.amazon.in/s?k=bags&page=3&crid=2M096C61O4MLT&qid=1658565969&sprefix=ba%2Caps%2C283&ref=sr_pg_3
1658566439-72,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,AFN FASHION 70L Adventure Camping Trekking Backpack for Unisex Adult,https://www.amazon.in/Backpack-Adventure-Camping-Trekking-Rucksack/dp/B091SNKKB4/ref=sr_1_40?crid=2M096C61O4MLT&keywords=bags&qid=1658566257&sprefix=ba%2Caps%2C283&sr=8-40,AFN FASHION 70L Adventure Camping Trekking Backpack for Unisex Adult,null,4.0 out of 5 stars,966 ratings,Multiple pockets with zippered closures hold your belongings securely. Keep your storage organized. Adjustable straps for extra security and flexibility,B091SNKKB4,"AFN FASHION, AFN FASHION MUMBA",3,https://www.amazon.in/s?k=bags&page=3&crid=2M096C61O4MLT&qid=1658565969&sprefix=ba%2Caps%2C283&ref=sr_pg_3
1658566090-52,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,"TRUE HUMAN Emperor ( ZYDEN ) Anti-Theft backpack with combination lock Laptop bag , office bag , college bag",https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-combination/dp/B09VCHV6T5/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1658565981&sprefix=ba%2Caps%2C283&sr=8-30,"TRUE HUMAN Emperor ( ZYDEN ) Anti-Theft backpack with combination lock Laptop bag , office bag , college bag",null,3.8 out of 5 stars,234 ratings,"➧ Superior & Durability: Made of durable and Eco-friendly water resistant oxford textile fabric,which keeps your files and stuffs dry inside. This backpack can hold up to 15.6"" laptop from most brands, but it may not be suitable for all brand 15.6"". Since there maybe exist slight size difference among different laptop brands.",ZYDEN-2,null,Next,https://www.amazon.in/s?k=bags&page=2&crid=2M096C61O4MLT&qid=1658565969&sprefix=ba%2Caps%2C283&ref=sr_pg_1
1658566752-91,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,Lenovo Casual Laptop Backpack B210 15.6-inch(39.6cm) Water Repellent Black,https://www.amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17225/dp/B075Y72PHZ/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1658566533&smid=A14CZOWI0VEHLG&sprefix=ba%2Caps%2C283&sr=8-21,Lenovo Casual Laptop Backpack B210 15.6-inch(39.6cm) Water Repellent Black,₹749.00,4.2 out of 5 stars,"43,101 ratings","Compatible With 15.6"" Laptop : The Lenovo B210 Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 453g.",null,null,2,https://www.amazon.in/s?k=bags&page=2&crid=2M096C61O4MLT&qid=1658565969&sprefix=ba%2Caps%2C283&ref=sr_pg_2
1658566703-87,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,"Bennett™ Mystic 15.6 inch(39cm) Laptop Shoulder Messenger Sling Office Bag, Water Repellent Fabric for Men and Women (Charcoal Black)",https://www.amazon.in/BennettTM-Shoulder-Messenger-Repellent-Charcoal/dp/B09CV24TMK/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1658566533&smid=A14CZOWI0VEHLG&sprefix=ba%2Caps%2C283&sr=8-25,"Bennett™ Mystic 15.6 inch(39cm) Laptop Shoulder Messenger Sling Office Bag, Water Repellent Fabric for Men and Women (Charcoal Black)",₹499.00,4.1 out of 5 stars,"2,508 ratings","High quality Material: The outside of this laptop bag is made of high quality water Repellent Fabric, high well-pad soft fleece inside,comfortable touch, provide 360°protection for your laptop and various device.",null,null,2,https://www.amazon.in/s?k=bags&page=2&crid=2M096C61O4MLT&qid=1658565969&sprefix=ba%2Caps%2C283&ref=sr_pg_2
1658566355-67,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,Fargo Handbag For Women And Girls COMBO SET OF 5 (Light5pc),https://www.amazon.in/Fargo-Handbag-Women-Girls-Light5pc/dp/B09N3K2ZCP/ref=sr_1_47?crid=2M096C61O4MLT&keywords=bags&qid=1658566257&smid=A2J0EVES3HXP0T&sprefix=ba%2Caps%2C283&sr=8-47,Fargo Handbag For Women And Girls COMBO SET OF 5 (Light5pc),₹474.00,3.1 out of 5 stars,"1,461 ratings","Handbag Dimensions In INCH : Length 12, Height 10.5; Only One Compartment Handbag with Detachable Shoulder Strap.",B09N3K2ZCP,"Retail Grapple, Retail Grapple, India",3,https://www.amazon.in/s?k=bags&page=3&crid=2M096C61O4MLT&qid=1658565969&sprefix=ba%2Caps%2C283&ref=sr_pg_3
1658566019-46,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Grey & Black),https://www.amazon.in/HEROZ-Hammer-Durable-Travel-Laptop/dp/B07MGDFT9C/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1658565981&sprefix=ba%2Caps%2C283&sr=8-36,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Grey & Black),null,4.3 out of 5 stars,"6,646 ratings","Warranty type: Manufacturer, 1 year domestic warranty",null,null,Next,https://www.amazon.in/s?k=bags&page=2&crid=2M096C61O4MLT&qid=1658565969&sprefix=ba%2Caps%2C283&ref=sr_pg_1
1658566451-73,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,Gear Classic Anti Theft Faux Leather 18 inch 48 cms Brown Laptop Backpack (LBPCLSLTH0201),https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1658566257&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=8-39,Gear Classic Anti Theft Faux Leather 18 inch 48 cms Brown Laptop Backpack (LBPCLSLTH0201),"₹1,066.00",4.4 out of 5 stars,"4,474 ratings","Outer material: synthetic, color: brown",B07G4F6XFH,"Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366",3,https://www.amazon.in/s?k=bags&page=3&crid=2M096C61O4MLT&qid=1658565969&sprefix=ba%2Caps%2C283&ref=sr_pg_3
1658566030-47,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,"Polestar Space 34 Liters Casual/ Office/ Travel/ School Backpack Bag, made of Polyester, 1 year warranty",https://www.amazon.in/POLESTAR-Navyorg-Casual-bagpack-Backpack/dp/B0844R2GMK/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1658565981&smid=A3HBYWQBT33AGW&sprefix=ba%2Caps%2C283&sr=8-35,"Polestar Space 34 Liters Casual/ Office/ Travel/ School Backpack Bag, made of Polyester, 1 year warranty",₹549.00,4.0 out of 5 stars,"4,859 ratings","✅DIMENSIONS: 30 Cm x 23 Cm x 47 Cm, CAPACITY: 34 Litres",POLESTAR,Unisex-adult,Next,https://www.amazon.in/s?k=bags&page=2&crid=2M096C61O4MLT&qid=1658565969&sprefix=ba%2Caps%2C283&ref=sr_pg_1
1658566582-79,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,Artistix Talon Anti-Theft Design Laptop Backpack Bag in Water Resistance With USB Charging Port (46 Cm) (Black),https://www.amazon.in/Artistix-Backpack-Anti-Theft-Charging-Resistance/dp/B082PKX18C/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1658566533&smid=A1VUWH3EQIJX98&sprefix=ba%2Caps%2C283&sr=8-35,Artistix Talon Anti-Theft Design Laptop Backpack Bag in Water Resistance With USB Charging Port (46 Cm) (Black),₹939.00,4.3 out of 5 stars,"1,607 ratings",Fit Type: Western,B082PKX18C,"Durant International. Address : GIDC Lodhika, Rajkot-360021, Gujarat. Customer Care : 9809804990, Durant International Plot no. G-2613/2 GIDC lodhika, metoda, Rajkot 360021. Customer Care +91 9809804990",2,https://www.amazon.in/s?k=bags&page=2&crid=2M096C61O4MLT&qid=1658565969&sprefix=ba%2Caps%2C283&ref=sr_pg_2
1658566139-54,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1658565981&sprefix=ba%2Caps%2C283&sr=8-26,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,null,3.9 out of 5 stars,496 ratings,"SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside (Upto 17 inches), with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort",B09VCLZ3K4,Amazing Bags,Next,https://www.amazon.in/s?k=bags&page=2&crid=2M096C61O4MLT&qid=1658565969&sprefix=ba%2Caps%2C283&ref=sr_pg_1
1658566727-89,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,"Wesley Milestone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Compatible with 15.6 inch Laptop) 30 L, Charcoal Black",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1658566533&smid=A14CZOWI0VEHLG&sprefix=ba%2Caps%2C283&sr=8-23,"Wesley Milestone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Compatible with 15.6 inch Laptop) 30 L, Charcoal Black",₹548.00,4.3 out of 5 stars,"6,581 ratings","30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.",null,null,2,https://www.amazon.in/s?k=bags&page=2&crid=2M096C61O4MLT&qid=1658565969&sprefix=ba%2Caps%2C283&ref=sr_pg_2
1658566571-78,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,"Polestar Space 34 Liters Casual/ Office/ Travel/ School Backpack Bag, made of Polyester, 1 year warranty",https://www.amazon.in/POLESTAR-Navyorg-Casual-bagpack-Backpack/dp/B0844R2GMK/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1658566533&smid=A3HBYWQBT33AGW&sprefix=ba%2Caps%2C283&sr=8-36,"Polestar Space 34 Liters Casual/ Office/ Travel/ School Backpack Bag, made of Polyester, 1 year warranty",₹549.00,4.0 out of 5 stars,"4,859 ratings","✅DIMENSIONS: 30 Cm x 23 Cm x 47 Cm, CAPACITY: 34 Litres",POLESTAR,Unisex-adult,2,https://www.amazon.in/s?k=bags&page=2&crid=2M096C61O4MLT&qid=1658565969&sprefix=ba%2Caps%2C283&ref=sr_pg_2
1658566955-102,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ5XY31/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1658565969&sprefix=ba%2Caps%2C283&sr=8-10,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,null,3.9 out of 5 stars,"7,231 ratings",?WATER RESISTANT WITH 1 YEAR WARRANTY - Stylish and durable unisex travel laptop backpack that is your perfect travel partner. Size: 20 inch X 13.5 inch X 9.5 inch. Capacity : 48 liters. Backpack is made of high grade water resistant polyester material that gives it strength and durable for long-term use. 12 months warranty for any manufacturing defects,B08YZ5XY31,"Akshaya Rubbers, Hebbal Industrial Area, Mysore, 7022982998",,
1658566847-95,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1658565969&smid=A14CZOWI0VEHLG&sprefix=ba%2Caps%2C283&sr=8-19,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",₹249.00,4.1 out of 5 stars,"3,205 ratings",Made of multi-coated 600D polyester Material ; Water Repellent,null,null,,
1658567015-107,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1658565969&smid=A1UVZJ9N7FK5G6&sprefix=ba%2Caps%2C283&sr=8-5,Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),₹645.00,3.9 out of 5 stars,"11,174 ratings","SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside (Upto 17 inches), with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort",B085MHDJ93,Amazing Bags,,
1658566102-53,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,ZIPLINE Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag Weekend Bag,https://www.amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMR33Q/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1658565981&smid=AE2F1YGE1DB7K&sprefix=ba%2Caps%2C283&sr=8-29,ZIPLINE Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag Weekend Bag,₹726.00,4.1 out of 5 stars,"2,725 ratings","MULTI-FUNCTION COMPARTMENT: ZIPLINE backpack features multiple storage compartments and features for additional supplies and accessories as your, iPhone, iPad, pen, keys, wallet, books, clothes, bottle, passport and more,",B07XVMR33Q,"Atulitu Agency, ,251/3364, Tagore Nagar - 1, Vikhroli East, Mumbai - 400083 (9820078070)",Next,https://www.amazon.in/s?k=bags&page=2&crid=2M096C61O4MLT&qid=1658565969&sprefix=ba%2Caps%2C283&ref=sr_pg_1
1658566463-74,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,Northzone Laptop Bag/College Bag/School Bag/Office Bag/Waterproof Bag/Travel Bag/Casual Backpack/Trending Backpack (Black1) 40L Backpack,https://www.amazon.in/Northzone-Polyester-School-Backpack-Compartment/dp/B08679WRLW/ref=sr_1_38?crid=2M096C61O4MLT&keywords=bags&qid=1658566257&sprefix=ba%2Caps%2C283&sr=8-38,Northzone Laptop Bag/College Bag/School Bag/Office Bag/Waterproof Bag/Travel Bag/Casual Backpack/Trending Backpack (Black1) 40L Backpack,null,4.0 out of 5 stars,990 ratings,Casual Backpack with Laptop Compartment,DF-OI_Parent,"Northzone, Plot no 35 to 40 KH.No. 28/2 Ground Floor Agar Nagar Prem Nagar Phase 3 Delhi 110086",3,https://www.amazon.in/s?k=bags&page=3&crid=2M096C61O4MLT&qid=1658565969&sprefix=ba%2Caps%2C283&ref=sr_pg_3
1658567039-109,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,American Tourister Casual Backpack,https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1658565969&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=8-3,American Tourister Casual Backpack,"₹1,099.00",4.1 out of 5 stars,"42,611 ratings","Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No",Samsonite,Samsonite,,
1658567027-108,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,Metro Women Backpack (66-7806),https://www.amazon.in/Metro-Women-Pink-Backpack-66-7806/dp/B0B364KGB9/ref=sr_1_omk_4?crid=2M096C61O4MLT&keywords=bags&qid=1658565969&sprefix=ba%2Caps%2C283&sr=8-4,Metro Women Backpack (66-7806),null,null,null,Material:Synthetic,India,null,,
